                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.45101,                 0.2905,                0.89687,                0.99698,                0.99437,                0.99495,                0.96969,                0.35251,                0.18664,                0.85428,               2.74e-05,               2.74e-05,               2.74e-05
                     57,                0.46071,                0.29562,                0.90551,                0.99738,                0.99392,                  0.995,                0.96882,                   0.36,                0.18774,                0.85587,              2.608e-05,              2.608e-05,              2.608e-05
                     58,                0.44631,                0.28123,                0.89561,                0.99603,                0.99482,                0.99499,                0.96974,                0.35131,                0.18772,                 0.8538,              2.476e-05,              2.476e-05,              2.476e-05
                     59,                0.44078,                0.28163,                0.89353,                0.99782,                0.99429,                0.99499,                0.97189,                0.34477,                0.18273,                0.85219,              2.344e-05,              2.344e-05,              2.344e-05
                     60,                0.44701,                0.28353,                0.89908,                0.99841,                0.99397,                0.99499,                0.97154,                 0.3445,                0.18475,                0.85106,              2.212e-05,              2.212e-05,              2.212e-05
                     61,                0.43929,                0.27993,                0.89566,                0.99798,                0.99443,                0.99499,                0.97309,                0.34036,                0.17975,                 0.8518,               2.08e-05,               2.08e-05,               2.08e-05
                     62,                0.43112,                0.27228,                0.88775,                0.99904,                0.99418,                  0.995,                 0.9729,                0.34258,                0.18131,                0.85031,              1.948e-05,              1.948e-05,              1.948e-05
                     63,                 0.4328,                0.27554,                0.88737,                0.99872,                0.99458,                  0.995,                0.97451,                 0.3351,                0.17701,                0.84961,              1.816e-05,              1.816e-05,              1.816e-05
                     64,                0.43134,                0.27596,                0.88975,                0.99886,                0.99363,                0.99499,                 0.9733,                0.34036,                0.17789,                0.85117,              1.684e-05,              1.684e-05,              1.684e-05
                     65,                0.42556,                0.27149,                0.89142,                0.99855,                0.99442,                  0.995,                 0.9746,                0.33175,                0.17589,                0.84919,              1.552e-05,              1.552e-05,              1.552e-05
                     66,                0.42388,                0.25027,                0.88135,                0.99864,                0.99281,                0.99498,                0.96868,                0.36027,                0.18415,                 0.8631,               1.42e-05,               1.42e-05,               1.42e-05
                     67,                0.40191,                0.23813,                0.87337,                0.99855,                0.99341,                0.99499,                0.97065,                0.34796,                0.18109,                0.85848,              1.288e-05,              1.288e-05,              1.288e-05
                     68,                0.38942,                0.23411,                0.87497,                0.99886,                0.99339,                0.99499,                0.97252,                0.34302,                0.17936,                0.85608,              1.156e-05,              1.156e-05,              1.156e-05
                     69,                0.38917,                0.23009,                0.86354,                0.99842,                0.99382,                0.99499,                0.97295,                0.34061,                0.17722,                0.85265,              1.024e-05,              1.024e-05,              1.024e-05
                     70,                0.37763,                0.22499,                0.85853,                0.99877,                0.99399,                0.99499,                0.97467,                0.33632,                0.17502,                0.85339,               8.92e-06,               8.92e-06,               8.92e-06
                     71,                0.37471,                0.22294,                 0.8581,                0.99858,                0.99459,                0.99499,                0.97535,                0.32925,                0.17244,                0.85159,                7.6e-06,                7.6e-06,                7.6e-06
                     72,                0.37578,                0.22611,                0.86276,                 0.9985,                0.99416,                0.99499,                 0.9748,                0.33222,                0.17362,                0.85132,               6.28e-06,               6.28e-06,               6.28e-06
                     73,                0.36919,                 0.2224,                0.85887,                0.99855,                0.99384,                0.99499,                0.97564,                0.32556,                 0.1718,                0.85066,               4.96e-06,               4.96e-06,               4.96e-06
                     74,                0.36268,                0.21921,                0.85428,                0.99736,                0.99502,                0.99498,                0.97669,                  0.324,                0.17037,                0.85048,               3.64e-06,               3.64e-06,               3.64e-06
                     75,                0.36274,                 0.2145,                 0.8608,                0.99738,                0.99495,                0.99499,                0.97694,                0.32114,                0.16969,                0.85035,               2.32e-06,               2.32e-06,               2.32e-06
